scaling,analysis,layer,method,workers,effective_workers,complexity,total_points,repeats,median_wall_s,median_total_cpu_s,median_aggregate_rss_kb,throughput_points_s,effective_cpu
weak,dc,end_to_end,ngspice_optimized_reuse,8,8,21,8000,1,119.87038527382538,949.6700000000001,142096.0,66.73875270964747,7.922473910721365
weak,dc,end_to_end,ngspice_optimized_reuse,16,16,21,16000,1,125.43463315092959,1967.46,284212.0,127.55647780902706,15.685141739384274
weak,dc,end_to_end,ngspice_optimized_reuse,32,32,21,32000,1,272.4241569021251,4213.89,568376.0,117.46388559622767,15.468121652346495
weak,dc,end_to_end,ngspice_optimized_reuse,64,64,21,64000,1,133.33882666984573,8247.48,1136752.0,479.98022480329394,61.85355163219798
weak,dc,solver_only,hspice_alter,1,1,21,1000,3,278.38901546411216,278.26,66636.0,3.5920957525312724,0.9995365640993518
weak,dc,solver_only,hspice_alter,2,2,21,2000,3,281.4038704209961,560.15,140880.0,7.107222786267605,1.9905554218638994
weak,dc,solver_only,hspice_alter,4,4,21,4000,3,285.10224229097366,1128.41,266784.0,14.030054509068448,3.957913452144482
weak,dc,solver_only,hspice_alter,8,8,21,8000,3,302.962088329019,2402.73,414448.0,26.40594420286654,7.93079428931919
weak,dc,solver_only,hspice_alter,16,16,21,16000,3,310.3529561520554,4920.79,1019168.0,51.55420524546544,15.855463601864617
weak,dc,solver_only,hspice_alter,32,32,21,32000,3,315.1495096748695,9863.39,1658664.0,101.53910768578845,31.29749435490403
weak,dc,solver_only,hspice_alter,64,64,21,64000,3,320.39269845513627,19958.04,3316864.0,199.75486429183326,62.292430808296565
weak,dc,solver_only,hspice_independent,1,1,21,1000,3,528.2014741811436,511.48,56364.0,1.893216980415045,0.9683426211426873
weak,dc,solver_only,hspice_independent,2,2,21,2000,3,536.0519687840715,1030.21,112728.0,3.7309815399738326,1.9218472461482212
weak,dc,solver_only,hspice_independent,4,4,21,4000,3,542.7379466150887,2077.59,225484.0,7.370039307085361,3.827979991001869
weak,dc,solver_only,hspice_independent,8,8,21,8000,3,589.0814072401263,4533.31,454676.0,13.580465962217975,7.695557768897796
weak,dc,solver_only,hspice_independent,16,16,21,16000,3,596.0828537850175,9160.42,905344.0,26.84190611825674,15.367695852737588
weak,dc,solver_only,hspice_independent,32,32,21,32000,3,609.0118196951225,18320.68,1449472.0,52.54413619758566,30.08263453601199
weak,dc,solver_only,hspice_independent,64,64,21,64000,3,665.1116406419314,38593.2,2718692.0,96.22444727960333,58.02514591798729
weak,dc,solver_only,ngspice_official_independent,1,1,21,1000,3,93.66929243993945,81.57000000000001,11848.0,10.675857305543307,0.8708296804131676
weak,dc,solver_only,ngspice_official_independent,2,2,21,2000,3,96.00697652297094,164.14000000000001,23696.0,20.831819440970246,1.7096674215204282
weak,dc,solver_only,ngspice_official_independent,4,4,21,4000,3,99.10356068913825,332.88,47392.0,40.361819214013366,3.3589105949901925
weak,dc,solver_only,ngspice_official_independent,8,8,21,8000,3,107.04563691513613,712.12,94784.0,74.73447989610503,6.65248972795179
weak,dc,solver_only,ngspice_official_independent,16,16,21,16000,3,114.70601130602881,1467.27,189568.0,139.48702267497518,12.791570235019426
weak,dc,solver_only,ngspice_official_independent,32,32,21,32000,3,131.23989266809076,2936.3,379136.0,243.82830059857537,22.373532470237404
weak,dc,solver_only,ngspice_official_independent,64,64,21,64000,3,244.04235898307525,6622.1,758272.0,262.2495548178114,27.135043389984826
weak,dc,solver_only,ngspice_official_independent,128,128,21,128000,3,579.331152661005,15563.0,1516544.0,220.94444500708397,26.8637374816035
weak,dc,solver_only,ngspice_official_independent,192,192,21,192000,3,842.4912720930297,21445.760000000002,2274816.0,227.89553596562237,25.45517171557347
weak,dc,solver_only,ngspice_official_independent,256,256,21,256000,3,1104.2875913048629,27603.14,3033088.0,231.8236680514556,24.996332673976
weak,dc,solver_only,ngspice_optimized_independent,1,1,21,1000,3,93.88084542192519,81.54,11856.0,10.651800114344276,0.8685477813236323
weak,dc,solver_only,ngspice_optimized_independent,2,2,21,2000,3,96.14475294202566,164.11,23712.0,20.80196722962074,1.70690542102653
weak,dc,solver_only,ngspice_optimized_independent,4,4,21,4000,3,97.89993271208368,331.65,47424.0,40.85804646836375,3.3876427778082094
weak,dc,solver_only,ngspice_optimized_independent,8,8,21,8000,3,105.09605489904061,687.74,94848.0,76.12084019409781,6.543918329386103
weak,dc,solver_only,ngspice_optimized_independent,16,16,21,16000,3,115.07165580592118,1465.24,189696.0,139.04379743162343,12.733283359294495
weak,dc,solver_only,ngspice_optimized_independent,32,32,21,32000,3,131.72911255713552,2935.15,379392.0,242.92276307654075,22.281710876378394
weak,dc,solver_only,ngspice_optimized_independent,64,64,21,64000,3,246.02791283885017,6635.25,758784.0,260.1330851508723,26.96950083198946
weak,dc,solver_only,ngspice_optimized_independent,128,128,21,128000,3,580.1297423010692,15562.24,1517568.0,220.64029934457662,26.825447594313626
weak,dc,solver_only,ngspice_optimized_independent,192,192,21,192000,3,841.058972494211,21502.260000000002,2276352.0,228.28363560596998,25.56569836742096
